Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_240425_081228_v1,spinnaker,7,3.252,0.9,1.047,0.464,0.0
Synthetic_240425_081228_v2,gpu,19,8.876,1.576,1.084,0.471,0.0
Synthetic_240425_081228_v2,spinnaker,7,3.198,0.9,1.059,0.462,0.0
Synthetic_240425_081228_v3,gpu,19,9.032,1.653,1.082,0.475,0.0
Synthetic_240425_081228_v3,spinnaker,7,3.315,0.977,1.092,0.475,0.0
Synthetic_240425_081338_v1,gpu,19,8.349,1.546,0.981,0.461,0.0
Synthetic_240425_081338_v1,spinnaker,7,3.424,0.997,1.038,0.471,0.0
Synthetic_240425_081338_v2,gpu,19,8.688,1.566,1.008,0.466,0.0
Synthetic_240425_081338_v2,spinnaker,7,3.794,1.299,1.029,0.475,0.0
Synthetic_240425_081338_v3,gpu,19,8.486,1.582,0.951,0.464,0.0
Synthetic_240425_081338_v3,spinnaker,7,3.469,1.024,0.969,0.462,0.0
Synthetic_240425_081448_v1,gpu,19,10.653,2.068,1.307,0.575,0.0
Synthetic_240425_081448_v1,spinnaker,8,4.758,1.498,1.273,0.578,0.0
Synthetic_240425_081448_v2,gpu,19,10.823,2.085,1.285,0.579,0.0
Synthetic_240425_081448_v2,spinnaker,7,4.324,1.376,1.235,0.575,0.0
Synthetic_240425_081448_v3,gpu,19,11.352,2.2,1.285,0.582,0.0
Synthetic_240425_081448_v3,spinnaker,7,4.306,1.426,1.263,0.575,0.0
Synthetic_240425_081559_v1,gpu,19,10.481,2.066,1.237,0.561,0.0
Synthetic_240425_081559_v1,spinnaker,7,4.416,1.629,1.244,0.568,0.0
Synthetic_240425_081559_v2,gpu,19,10.618,2.065,1.261,0.568,0.0
Synthetic_240425_081559_v2,spinnaker,7,4.34,1.518,1.297,0.585,0.0
Synthetic_240425_081559_v3,gpu,19,10.769,2.122,1.268,0.582,0.0
Synthetic_240425_081559_v3,spinnaker,7,4.471,1.416,1.316,0.569,0.0
Synthetic_240425_081709_v1,gpu,19,12.574,2.44,1.326,0.656,0.0
Synthetic_240425_081709_v1,spinnaker,7,5.253,2.009,1.346,0.656,0.0
Synthetic_240425_081709_v2,gpu,19,13.211,2.905,1.392,0.66,0.0
Synthetic_240425_081709_v2,spinnaker,8,5.777,2.253,1.378,0.658,0.0
Synthetic_240425_081709_v3,gpu,19,13.032,2.791,1.364,0.658,0.0
Synthetic_240425_081709_v3,spinnaker,7,5.223,1.776,1.344,0.652,0.0
Synthetic_240425_081820_v1,gpu,19,13.107,2.913,1.432,0.667,0.0
