Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,ModeSpeed
synthetic,spinnaker,6,0.912,0.333,5.393,0.188,0.0
synthetic,spinnaker,6,2.933,2.091,3.398,0.404,0.34
synthetic,gpu,18,8.079,2.577,5.286,0.735,0.264
synthetic,gpu,19,7.643,1.952,2.311,0.424,0.462
synthetic,gpu,18,7.66,2.007,3.836,0.427,0.384
synthetic,spinnaker,5,2.934,2.003,2.302,0.411,0.46
synthetic,gpu,18,2.404,2.143,3.661,0.082,0.0
synthetic,spinnaker,13,2.263,2.173,2.835,0.079,0.0
synthetic,spinnaker,6,2.328,2.054,3.592,0.08,0.0
synthetic,spinnaker,0,2.242,2.242,0.146,0.074,0.073
synthetic,spinnaker,22,2.432,1.96,0.182,0.082,0.073
synthetic,spinnaker,6,3.501,2.18,0.795,0.418,0.477
synthetic,spinnaker,6,5.34,2.192,2.032,0.948,1.219
synthetic,spinnaker,6,9.256,2.745,2.584,1.448,1.697
synthetic,spinnaker,6,6.439,2.51,1.924,0.963,1.058
synthetic,gpu,18,17.354,3.128,1.712,0.905,1.113
synthetic,gpu,18,70.013,11.206,5.25,2.577,3.938
synthetic,gpu,15,2.463,1.774,0.237,0.112,0.142
synthetic,spinnaker,72,103.761,102.563,0.361,0.206,0.27
synthetic,gpu,22,3.998,1.744,0.403,0.215,0.242
synthetic,spinnaker,91,96.915,96.421,0.403,0.212,0.262
synthetic,gpu,19,3.882,1.757,0.403,0.215,0.242
synthetic,gpu,19,6.377,2.038,0.549,0.314,0.412
synthetic,gpu,99,66.5,64.652,0.549,0.309,0.357
synthetic,spinnaker,7,2.666,2.008,0.571,0.32,0.399
synthetic,spinnaker,6,2.277,2.022,0.559,0.246,0.196
synthetic,spinnaker,6,2.281,1.892,0.491,0.194,0.123
synthetic,spinnaker,7,3.754,1.966,0.991,0.525,0.693
synthetic,spinnaker,7,2.3,2.177,0.28,0.123,0.07
synthetic,spinnaker,6,2.324,2.041,0.47,0.244,0.258
synthetic,gpu,18,4.325,1.761,0.481,0.237,0.192
synthetic,gpu,20,4.307,1.774,0.492,0.237,0.123
synthetic,spinnaker,6,2.573,2.111,0.492,0.243,0.246
synthetic,spinnaker,7,2.438,1.929,4.85,0.27,0.0
synthetic,spinnaker,6,2.556,2.132,0.481,0.243,0.264
synthetic,gpu,21,4.258,1.755,0.456,0.24,0.274
synthetic,gpu,21,4.188,1.755,0.506,0.248,0.278
synthetic_240418_1623,gpu,22,4.195,1.767,0.481,0.24,0.192
synthetic,gpu,21,4.267,1.769,0.481,0.252,0.192
Synthetic_240418_164402,gpu,87,7.303,5.004,0.225,0.085,0.067
Synthetic_240418_164402,spinnaker,59,6.033,5.109,0.19,0.086,0.067
Synthetic_240418_164513,gpu,20,2.336,1.757,0.25,0.113,0.125
Synthetic_240418_164513,spinnaker,15,2.366,2.202,0.257,0.113,0.116
Synthetic_240418_164651,gpu,26,2.041,1.788,0.19,0.084,0.067
Synthetic_240418_164651,spinnaker,8,2.018,1.997,0.19,0.081,0.067
Synthetic_240418_164803,gpu,20,2.56,2.028,0.257,0.113,0.116
Synthetic_240418_164803,spinnaker,4,2.072,2.063,0.25,0.112,0.125
Synthetic_240418_164916,gpu,18,2.6,1.8,0.292,0.135,0.146
Synthetic_240418_164916,spinnaker,5,2.045,2.033,0.292,0.135,0.131
Synthetic_240418_165029,gpu,22,3.078,1.767,0.335,0.17,0.134
Synthetic_240418_165029,spinnaker,4,2.354,2.029,0.358,0.167,0.197
Synthetic_240418_165143,gpu,18,2.915,1.773,0.358,0.171,0.143
Synthetic_240418_165143,spinnaker,5,2.492,2.016,0.358,0.168,0.143
Synthetic_240418_165258,gpu,19,3.428,1.771,0.432,0.207,0.194
Synthetic_240418_165258,spinnaker,7,2.345,2.123,0.432,0.202,0.194
Synthetic_240418_165413,gpu,18,4.234,1.761,0.481,0.232,0.192
Synthetic_240418_165413,spinnaker,4,2.53,2.063,0.481,0.23,0.192
Synthetic_240418_165527,gpu,20,6.187,2.0,0.74,0.381,0.347
Synthetic_240418_165829,gpu,39,39.773,29.94,4.478,1.148,0.448
Synthetic_240418_170054,gpu,20,10.032,2.058,1.139,0.591,0.342
Synthetic_240418_170054,spinnaker,8,5.091,2.493,1.14,0.585,0.57
Synthetic_240418_170404,gpu,19,3.794,1.79,0.506,0.243,0.278
Synthetic_240418_170404,spinnaker,36,13.791,11.393,0.492,0.247,0.197
Synthetic_240418_170529,gpu,23,4.865,2.049,0.564,0.274,0.254
Synthetic_240418_170529,spinnaker,19,8.572,6.811,0.564,0.273,0.254
Synthetic_240418_170654,gpu,18,5.516,2.073,0.632,0.321,0.253
Synthetic_240418_170654,spinnaker,12,4.507,3.195,0.613,0.32,0.245
Synthetic_240418_170818,gpu,18,5.843,2.031,0.691,0.351,0.325
Synthetic_240418_170818,spinnaker,9,3.743,2.661,0.72,0.36,0.303
Synthetic_240418_170942,gpu,19,6.589,2.01,0.8,0.393,0.374
Synthetic_240418_170942,spinnaker,7,3.061,2.228,0.776,0.39,0.438
Synthetic_240418_171107,gpu,18,6.764,1.985,0.825,0.418,0.345
Synthetic_240418_171107,spinnaker,7,2.98,1.895,0.825,0.428,0.345
Synthetic_240418_171233,gpu,19,7.678,2.015,0.922,0.457,0.429
Synthetic_240418_171233,spinnaker,6,3.034,1.996,0.933,0.448,0.343
Synthetic_240418_171358,gpu,19,8.271,2.01,0.982,0.501,0.408
Synthetic_240418_171358,spinnaker,6,3.143,1.862,0.946,0.488,0.44
Synthetic_240418_171524,gpu,19,9.103,2.027,1.061,0.54,0.439
Synthetic_240418_171524,spinnaker,6,3.4,2.103,1.007,0.525,0.418
Synthetic_240418_171650,gpu,20,9.838,2.05,1.123,0.576,0.449
Synthetic_240418_171650,spinnaker,6,3.438,2.122,1.11,0.572,0.721
